City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hawaiian Paradise Park,19.5933,-154.9731,78.31,94,100,9.22,US,1697176900
1,Hermanus,-34.4187,19.2345,57.43,68,1,3.94,ZA,1697176901
2,Utrik,11.2278,169.8474,82.78,77,47,11.23,MH,1697176901
3,Varberg,57.1056,12.2508,53.06,73,55,17.45,SE,1697176901
4,Port-aux-Français,-49.35,70.2167,37.51,74,88,21.56,TF,1697176901
5,Villa Gesell,-37.2639,-56.973,42.22,76,0,11.45,AR,1697176901
6,Adamstown,-25.066,-130.1015,69.53,69,93,11.07,PN,1697176901
7,Puerto Natales,-51.7236,-72.4875,39.7,96,58,6.82,CL,1697176610
8,Kashgar,39.4547,75.9797,67.21,22,75,6.71,CN,1697176902
9,Kailua-Kona,19.6406,-155.9956,77.5,89,10,4.0,US,1697176902
10,Hammerfest,70.6634,23.6821,32.45,93,40,2.3,NO,1697176902
11,Uttarkāshi,30.7333,78.45,79.65,44,0,6.58,IN,1697176902
12,Shenjiamen,29.9576,122.298,69.42,77,95,7.49,CN,1697176903
13,Hultsfred,57.4882,15.8436,41.13,95,28,5.88,SE,1697176903
14,Bocanda,7.0626,-4.4995,71.82,97,100,1.36,CI,1697176903
15,Anadyr,64.75,177.4833,37.9,86,75,13.42,RU,1697176903
16,Waalre,51.3867,5.4444,64.76,81,75,12.66,NL,1697176903
17,Kyzyl-Mazhalyk,51.1333,90.6,59.05,38,97,1.95,RU,1697176903
18,Happy Valley-Goose Bay,53.3168,-60.3315,48.51,93,100,11.5,CA,1697176904
19,Singaparna,-7.3515,108.111,91.11,36,100,7.65,ID,1697176904
20,Talagutong,6.2644,125.6678,83.82,76,89,7.02,PH,1697176904
21,Tiksi,71.6872,128.8694,23.67,95,100,3.31,RU,1697176904
22,Dudinka,69.4058,86.1778,34.68,93,97,15.01,RU,1697176904
23,Blackmans Bay,-43.0167,147.3167,59.13,57,85,1.99,AU,1697176904
24,Entroncamento,39.4667,-8.4667,67.41,62,99,2.89,PT,1697176905
25,Edinburgh of the Seven Seas,-37.0676,-12.3116,55.36,86,99,12.03,SH,1697176905
26,Avarua,-21.2078,-159.775,73.45,83,75,2.3,CK,1697176906
27,Den Burg,53.0542,4.7972,64.36,93,75,26.46,NL,1697176906
28,Kruisfontein,-34.0033,24.7314,55.92,93,75,24.7,ZA,1697176906
29,Afaahiti,-17.75,-149.2833,78.67,83,15,16.84,PF,1697176906
30,Tshabong,-26.05,22.45,62.44,28,1,8.86,BW,1697176906
31,Tual,-5.6667,132.75,81.27,82,48,11.7,ID,1697176906
32,Waitangi,-43.9535,-176.5597,52.83,84,100,5.99,NZ,1697176907
33,Albany,42.6001,-73.9662,46.35,86,24,5.61,US,1697176779
34,Whitehorse,60.7161,-135.0538,45.37,88,100,17.27,CA,1697176773
35,Queenstown,-31.8976,26.8753,57.16,56,0,15.79,ZA,1697176907
36,Nova Viçosa,-17.8919,-39.3719,73.72,86,14,13.35,BR,1697176907
37,Badger,64.8,-147.5333,24.39,92,68,5.37,US,1697176907
38,Isafjordur,66.0755,-23.124,29.26,88,100,20.71,IS,1697176907
39,Bredasdorp,-34.5322,20.0403,57.15,72,0,4.07,ZA,1697176811
40,Saipan,15.1355,145.701,83.37,84,100,17.81,MP,1697176907
41,Grytviken,-54.2811,-36.5092,25.5,80,97,4.07,GS,1697176908
42,Pacific Grove,36.6177,-121.9166,58.01,76,87,3.0,US,1697176908
43,Ushuaia,-54.8,-68.3,44.26,76,40,27.63,AR,1697176857
44,Olonkinbyen,70.9221,-8.7187,30.25,84,96,22.59,SJ,1697176908
45,Port Alfred,-33.5906,26.891,65.17,76,6,8.99,ZA,1697176908
46,Sant Lluís,39.8526,4.2594,68.4,100,20,2.3,ES,1697176908
47,Longyearbyen,78.2186,15.6401,30.04,74,75,11.5,SJ,1697176667
48,Yeed,4.55,43.0333,82.54,62,11,7.58,SO,1697176909
49,Fort McMurray,56.7268,-111.381,47.71,76,0,3.44,CA,1697176745
50,Lompoc,34.6391,-120.4579,55.58,94,20,4.61,US,1697176909
51,Polyarny,69.1989,33.4478,39.29,72,100,17.29,RU,1697176909
52,Bethel,41.3712,-73.414,53.76,80,20,1.01,US,1697176751
53,Stanley,54.868,-1.6985,47.79,92,20,3.44,GB,1697176686
54,Morehead City,34.7229,-76.726,61.0,97,0,3.44,US,1697176686
55,Uturoa,-16.7333,-151.4333,78.89,77,17,16.26,PF,1697176910
56,Atafu Village,-8.5421,-172.5159,83.19,80,100,21.63,TK,1697176910
57,Nagqu Prefecture,31.5,92.0,39.31,13,1,7.4,CN,1697176910
58,Penzance,50.1186,-5.5371,63.28,90,100,26.42,GB,1697176887
59,Port Mathurin,-19.6833,63.4167,73.8,80,33,8.55,MU,1697176911
60,Kudahuvadhoo,2.6708,72.8944,82.47,69,50,11.68,MV,1697176832
61,Invercargill,-46.4,168.35,65.01,50,30,11.99,NZ,1697176849
62,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,73,20,15.01,RU,1697176911
63,Puerto Santa,-8.9906,-78.6456,63.91,89,70,7.47,PE,1697176911
64,Alo,7.4178,6.7371,75.22,96,100,2.8,NG,1697176911
65,Oodweyne,9.4092,45.064,79.25,53,6,5.57,SO,1697176911
66,Coquimbo,-29.9533,-71.3436,55.13,94,0,4.61,CL,1697176814
67,Iqaluit,63.7506,-68.5145,29.93,86,75,4.61,CA,1697176912
68,Talnakh,69.4865,88.3972,29.21,94,100,5.66,RU,1697176912
69,Alice Springs,-23.7,133.8833,83.75,11,0,13.8,AU,1697176772
70,Puducherry,11.9333,79.8167,86.92,62,74,7.16,IN,1697176912
